floor,number_of_storeys,ceiling_height,target_price,total_area,living_area,kitchen_area,district,near_the_subway,number_of_rooms,house_type,bathroom,balcony,year_built
11.0,12.0,2.61,64000.0,50.0,29.3,7.71,Leninsky,No,2,panel,separate,Loggia,1977.0
4.0,9.0,2.7,115000.0,60.6,34.1,10.2,Pervomaisky,Yes,2,brick,separate,Loggia,1995.0
8.0,10.0,2.53,120000.0,59.9,36.1,9.5,Oktyabrsky,No,2,panel,combined,Loggia,2020.0
5.0,5.0,2.58,42000.0,29.32,16.8,6.0,Partizansky,No,1,brick,combined,Without,1961.0
3.0,5.0,3.04,170000.0,117.0,40.3,47.0,Pervomaisky,Yes,3,brick,separate,Loggia,2004.0
4.0,4.0,2.74,45000.0,45.1,30.6,5.9,Moskovsky,Yes,2,brick,separate,Balcony,1960.0
2.0,14.0,2.7,169000.0,100.7,61.9,10.6,Pervomaisky,Yes,3,brick,2,Two balconies,1997.0
3.0,8.0,2.7,77000.0,35.8,18.4,9.3,Oktyabrsky,No,1,panel,combined,Loggia,2019.0
9.0,12.0,2.8,84000.0,64.4,32.1,14.3,Frunzensky,Yes,2,frame-block,combined,Loggia,2007.0
3.0,12.0,2.65,68000.0,49.9,29.1,8.9,Frunzensky,No,2,panel,separate,Loggia,1994.0
9.0,9.0,2.55,41000.0,40.7,37.8,9.3,Oktyabrsky,No,1,panel,separate,Loggia,2009.0
7.0,8.0,2.7,180000.0,86.4,54.9,10.9,Tsentralny,No,3,frame-block,separate,Loggia,2013.0
6.0,10.0,2.53,79000.0,81.1,54.1,7.1,Moskovsky,Yes,4,panel,separate,Two balconies,1994.0
7.0,16.0,3.0,159000.0,137.6,72.0,19.9,Tsentralny,Yes,3,frame-block,combined,Loggia,2008.0
10.0,15.0,2.73,109000.0,64.3,34.4,12.6,Frunzensky,Yes,2,monolithic,separate,Loggia,2011.0
1.0,5.0,2.55,59000.0,38.4,23.0,6.2,Pervomaisky,Yes,2,panel,combined,Without,1969.0
3.0,9.0,2.7,135000.0,89.2,65.0,15.0,Moskovsky,Yes,3,frame-block,separate,Loggia,2014.0
